"id","name"
"tt0109045","The Adventures of Priscilla, Queen of the Desert"
"tt0020629","All Quiet on the Western Front"
"tt0074119","All the President's Men"
"tt0169547","American Beauty"
"tt0071562","The Godfather: Part II"
"tt0069704","American Graffiti"
"tt0082010","An American Werewolf in London"
"tt0096874","Back to the Future Part II"
"tt0096874","Back to the Future Part II"
"tt0338751","The Aviator"
"tt0101410","Barton Fink"
"tt0096895","Batman"
"tt0069762","Badlands"
"tt0268978","A Beautiful Mind"
"tt0381681","Before Sunset"
"tt0078841","Being There"
"tt0265086","Black Hawk Down"
"tt0071230","Blazing Saddles"
"tt0086979","Blood Simple."
"tt0060176","Blow-Up"
"tt0038355","The Big Sleep"
"tt0118715","The Big Lebowski"
"tt0118749","Boogie Nights"
"tt0101507","Boyz n the Hood"
"tt0054698","Breakfast at Tiffany's"
"tt0171804","Boys Don't Cry"
"tt0050212","The Bridge on the River Kwai"
"tt0068327","Cabaret"
"tt1843866","Captain America: The Winter Soldier"
"tt0106519","Carlito's Way"
"tt0103939","Chaplin"
"tt0075860","Close Encounters of the Third Kind"
"tt0056923","Charade"
"tt0369339","Collateral"
"tt0085334","A Christmas Story"
"tt0094947","Dangerous Liaisons"
"tt0066921","A Clockwork Orange"
"tt0109445","Clerks."
"tt0375679","Crash"
"tt0190332","Crouching Tiger, Hidden Dragon"
"tt0068473","Deliverance"
"tt0099348","Dances with Wolves"
"tt0077402","Dawn of the Dead"
"tt0061578","The Dirty Dozen"
"tt0119008","Donnie Brasco"
"tt0118971","The Devil's Advocate"
"tt0112864","Die Hard: With a Vengeance"
"tt0083866","E.T. the Extra-Terrestrial"
"tt0765443","Eastern Promises"
"tt0097216","Do the Right Thing"
"tt0072890","Dog Day Afternoon"
"tt0077416","The Deer Hunter"
"tt0109707","Ed Wood"
"tt0067116","The French Connection"
"tt0036775","Double Indemnity"
"tt0095159","A Fish Called Wanda"
"tt0101889","The Fisher King"
"tt0057076","From Russia with Love"
"tt0058150","Goldfinger"
"tt0452623","Gone Baby Gone"
"tt0080684","Star Wars: Episode V - The Empire Strikes Back"
"tt0099674","The Godfather: Part III"
"tt0338013","Eternal Sunshine of the Spotless Mind"
"tt0137523","Fight Club"
"tt2042568","Inside Llewyn Davis"
"tt0110148","Interview with the Vampire: The Vampire Chronicles"
"tt0780536","In Bruges"
"tt0119396","Jackie Brown"
"tt0371746","Iron Man"
"tt0099685","Goodfellas"
"tt2278388","The Grand Budapest Hotel"
"tt0378194","Kill Bill: Vol. 2"
"tt0030341","The Lady Vanishes"
"tt1375666","Inception"
"tt0361748","Inglourious Basterds"
"tt0116922","Lost Highway"
"tt1276104","Looper"
"tt0104797","Malcolm X"
"tt0266697","Kill Bill: Vol. 1"
"tt0119488","L.A. Confidential"
"tt0091605","The Name of the Rose"
"tt0082694","Mad Max 2: The Road Warrior"
"tt0110413","Léon: The Professional"
"tt0190590","O Brother, Where Art Thou?"
"tt0240772","Ocean's Eleven"
"tt0049470","The Man Who Knew Too Much"
"tt0074860","Marathon Man"
"tt0120737","The Lord of the Rings: The Fellowship of the Ring"
"tt0167261","The Lord of the Rings: The Two Towers"
"tt0167260","The Lord of the Rings: The Return of the King"
"tt0022100","M"
"tt0107818","Philadelphia"
"tt0087800","A Nightmare on Elm Street"
"tt0063350","Night of the Living Dead"
"tt0465551","Notes on a Scandal"
"tt0105151","The Player"
"tt0133093","The Matrix"
"tt0414387","Pride & Prejudice"
"tt0087884","Paris, Texas"
"tt1659337","The Perks of Being a Wallflower"
"tt0048545","Rebel Without a Cause"
"tt0325980","Pirates of the Caribbean: The Curse of the Black Pearl"
"tt0059646","Repulsion"
"tt0093748","Planes, Trains & Automobiles"
"tt0120789","Pleasantville"
"tt0047296","On the Waterfront"
"tt0257044","Road to Perdition"
"tt0050825","Paths of Glory"
"tt0128445","Rushmore"
"tt0047437","Sabrina"
"tt1318514","Rise of the Planet of the Apes"
"tt0114388","Sense and Sensibility"
"tt0070666","Serpico"
"tt0075148","Rocky"
"tt0093870","RoboCop"
"tt0063522","Rosemary's Baby"
"tt0082971","Raiders of the Lost Ark"
"tt0265666","The Royal Tenenbaums"
"tt0032976","Rebecca"
"tt0180093","Requiem for a Dream"
"tt0086190","Star Wars: Episode VI - Return of the Jedi"
"tt0105323","Scent of a Woman"
"tt0036342","Shadow of a Doubt"
"tt0121766","Star Wars: Episode III - Revenge of the Sith"
"tt1130884","Shutter Island"
"tt0069281","Sleuth"
"tt0086250","Scarface"
"tt0945513","Source Code"
"tt0114369","Se7en"
"tt0167404","The Sixth Sense"
"tt0208092","Snatch."
"tt0067800","Straw Dogs"
"tt0092005","Stand by Me"
"tt0072271","The Texas Chain Saw Massacre"
"tt0108550","What's Eating Gilbert Grape"
"tt0096438","Who Framed Roger Rabbit"
"tt0070917","The Wicker Man"
"tt0075314","Taxi Driver"
"tt0796366","Star Trek"
"tt0103064","Terminator 2: Judgment Day"
"tt0840361","The Town"
"tt1408101","Star Trek Into Darkness"
"tt1270798","X-Men: First Class"
"tt0056592","To Kill a Mockingbird"
"tt0088247","The Terminator"
"tt0088258","This Is Spinal Tap"
"tt0434409","V for Vendetta"
"tt0098635","When Harry Met Sally..."
"tt1800241","American Hustle"
"tt0108399","True Romance"
"tt0290334","X2"
"tt0993846","The Wolf of Wall Street"
"tt0086960","Beverly Hills Cop"
"tt2334873","Blue Jasmine"
"tt0080487","Caddyshack"
"tt0101540","Cape Fear"
"tt0124315","The Cider House Rules"
"tt1570728","Crazy, Stupid, Love."
"tt0104036","The Crying Game"
"tt0301199","Dirty Pretty Things"
"tt0120655","Dogma"
"tt0064276","Easy Rider"
"tt0116209","The English Patient"
"tt1229822","Jane Eyre"
"tt0443272","Lincoln"
"tt0311113","Master and Commander: The Far Side of the World"
"tt0180073","Quills"
"tt0093822","Raising Arizona"
"tt0111149","Shallow Grave"
"tt0363547","Dawn of the Dead"
"tt0316654","Spider-Man 2"
"tt0086425","Terms of Endearment"
"tt0103074","Thelma & Louise"
"tt0086465","Trading Places"
"tt0185014","Wonder Boys"
"tt0073486","One Flew Over the Cuckoo's Nest"
"tt0047478","Seven Samurai"
"tt0076759","Star Wars"
"tt0021749","City Lights"
"tt1675434","The Intouchables"
"tt0027977","Modern Times"
"tt0043014","Sunset Blvd."
"tt0405508","Rang De Basanti"
"tt0057012","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb"
"tt0253474","The Pianist"
"tt1853728","Django Unchained"
"tt0405094","The Lives of Others"
"tt1187043","3 Idiots"
"tt1832382","Jodaeiye Nader az Simin"
"tt0367110","Swades"
"tt0082096","Das Boot"
"tt0051201","Witness for the Prosecution"
"tt0087843","Once Upon a Time in America"
"tt0364569","Oldeuboi"
"tt0040522","Bicycle Thieves"
"tt0012349","The Kid"
"tt0045152","Singin' in the Rain"
"tt0055630","Yojimbo"
"tt0042876","Rashomon"
"tt0044741","Ikiru"
"tt0053604","The Apartment"
"tt0053291","Some Like It Hot"
"tt0017136","Metropolis"
"tt0031679","Mr. Smith Goes to Washington"
"tt0169102","Lagaan: Once Upon a Time in India"
"tt2082197","Barfi!"
"tt0017925","The General"
"tt0050986","Wild Strawberries"
"tt2106476","Jagten"
"tt0363163","Downfall"
"tt1490017","The Lego Movie"
"tt0015864","The Gold Rush"
"tt0050976","The Seventh Seal"
"tt0025316","It Happened One Night"
"tt0055031","Judgment at Nuremberg"
"tt0113277","Heat"
"tt1979320","Rush"
"tt1305806","The Secret in Their Eyes"
"tt1291584","Warrior"
"tt1798709","Her"
"tt0036868","The Best Years of Our Lives"
"tt0046911","Diabolique"
"tt0061512","Cool Hand Luke"
"tt1028532","Hachi: A Dog's Tale"
"tt0033870","The Maltese Falcon"
"tt1255953","Incendies"
"tt0848228","The Avengers"
"tt0114787","Underground"
"tt0293715","My Sassy Girl"
"tt0083922","Fanny and Alexander"
"tt0978762","Mary and Max"
"tt0052311","Touch of Evil"
"tt0058946","The Battle of Algiers"
"tt0395169","Hotel Rwanda"
"tt0046912","Dial M for Murder"
"tt0060827","Persona"
"tt0053198","The 400 Blows"
"tt0074958","Network"
"tt0056801","8½"
"tt0386064","Tae Guk Gi: The Brotherhood of War"
"tt0079944","Stalker"
"tt0084787","The Thing"
"tt0047528","La Strada"
"tt0079470","Life of Brian"
"tt0091763","Platoon"
"tt0061184","Who's Afraid of Virginia Woolf?"
"tt1069238","Departures"
"tt0044706","High Noon"
"tt0038787","Notorious"
"tt0107207","In the Name of the Father"
"tt0154420","The Celebration"
"tt0032138","The Wizard of Oz"
"tt0044079","Strangers on a Train"
"tt0046359","Stalag 17"
"tt0048424","The Night of the Hunter"
"tt1555149","Elite Squad: The Enemy Within"
"tt1201607","Harry Potter and the Deathly Hallows: Part 2"
"tt0113247","La Haine"
"tt0120731","La leggenda del pianista sull'oceano"
"tt1170358","The Hobbit: The Desolation of Smaug"
"tt0054997","The Hustler"
"tt0111495","Three Colors: Red"
"tt1454468","Gravity"
"tt0032904","The Philadelphia Story"
"tt0109424","Chungking Express"
"tt0051459","Cat on a Hot Tin Roof"
"tt0067328","The Last Picture Show"
"tt0036613","Arsenic and Old Lace"
"tt0029947","Bringing Up Baby"
"tt0056217","The Man Who Shot Liberty Valance"
"tt0049406","The Killing"
"tt0369702","The Sea Inside"
"tt0069293","Solaris"
"tt0114746","Twelve Monkeys"
"tt0042546","Harvey"
"tt0861739","Elite Squad"
"tt0032599","His Girl Friday"
"tt0401383","The Diving Bell and the Butterfly"
"tt0040746","Rope"
"tt0058461","Per un pugno di dollari"
"tt0056218","The Manchurian Candidate"
"tt1392214","Prisoners"
"tt0044081","A Streetcar Named Desire"
"tt0454876","Life of Pi"
"tt0903624","The Hobbit: An Unexpected Journey"
"tt0101414","Beauty and the Beast"
"tt0117666","Sling Blade"
"tt0010323","The Cabinet of Dr. Caligari"
"tt0107688","The Nightmare Before Christmas"
"tt0097123","Crimes and Misdemeanors"
"tt2209418","Before Midnight"
"tt0166896","The Straight Story"
"tt0175880","Magnolia"
"tt0287467","Talk to Her"
"tt0168629","Dancer in the Dark"
"tt0084503","Pink Floyd The Wall"
"tt0061811","In the Heat of the Night"
"tt0790636","Dallas Buyers Club"
"tt0077405","Days of Heaven"
"tt0068182","Aguirre, the Wrath of God"
"tt0347048","Head-On"
"tt0015648","Battleship Potemkin"
"tt0013442","Nosferatu"
"tt1139797","Let the Right One In"
"tt2278871","Blue Is the Warmest Color"
"tt0021884","Frankenstein"
"tt0283509","No Man's Land"
"tt0108394","Three Colors: Blue"
"tt1182345","Moon"
"tt0379786","Serenity"
"tt0756683","The Man from Earth"
"tt0091167","Hannah and Her Sisters"
"tt0043265","The African Queen"
"tt0166924","Mulholland Dr."
"tt1535109","Captain Phillips"
"tt0498380","Letters from Iwo Jima"
"tt0381061","Casino Royale"
"tt0053472","Breathless"
"tt0071360","The Conversation"
"tt0097202","The Killer"
"tt0299977","Ying xiong"
"tt0104684","Hard Boiled"
"tt0022913","Freaks"
"tt0061418","Bonnie and Clyde"
"tt0088847","The Breakfast Club"
"tt0087553","The Killing Fields"
"tt0026138","The Bride of Frankenstein"
"tt0073341","The Man Who Would Be King"
"tt0086197","The Right Stuff"
"tt0206634","Children of Men"
"tt1235166","A Prophet"
"tt0100150","Miller's Crossing"
"tt0075029","The Outlaw Josey Wales"
"tt0058385","My Fair Lady"
"tt0485947","Mr. Nobody"
"tt0115751","Breaking the Waves"
"tt0144117","The Boondock Saints"
"tt1032846","4 Months, 3 Weeks and 2 Days"
"tt0300140","Lilya 4-Ever"
"tt0358273","Walk the Line"
"tt0372824","The Chorus"
"tt0104348","Glengarry Glen Ross"
"tt0026029","The 39 Steps"
"tt0090967","Down by Law"
"tt0049833","The Ten Commandments"
"tt0097937","My Left Foot"
"tt1045658","Silver Linings Playbook"
"tt0412080","The World's Fastest Indian"
"tt1568346","The Girl with the Dragon Tattoo"
"tt0418455","Adam's Apples"
"tt0151804","Office Space"
"tt1951264","The Hunger Games: Catching Fire"
"tt0092991","Evil Dead II"
"tt1924396","La migliore offerta"
"tt0389557","Black Book"
"tt1821549","Nebraska"
"tt0318462","The Motorcycle Diaries"
"tt0093773","Predator"
"tt0108358","Tombstone"
"tt0338309","Evil"
"tt0780504","Drive"
"tt0125659","Open Your Eyes"
"tt1188996","My Name Is Khan"
"tt0032455","Fantasia"
"tt0298845","In America"
"tt0067992","Willy Wonka & the Chocolate Factory"
"tt1602620","Amour"
"tt1024648","Argo"
"tt0421715","The Curious Case of Benjamin Button"
"tt0119177","Gattaca"
"tt0049366","Invasion of the Body Snatchers"
"tt1132620","The Girl with the Dragon Tattoo"
"tt0045793","From Here to Eternity"
"tt0130827","Run Lola Run"
"tt0095647","Mississippi Burning"
"tt1748122","Moonrise Kingdom"
"tt0100157","Misery"
"tt0914798","The Boy in the Striped Pajamas"
"tt0102536","Night on Earth"
"tt0147612","Happiness"
"tt0250258","The Experiment"
"tt0432283","Fantastic Mr. Fox"
"tt0120601","Being John Malkovich"
"tt0425210","Lucky Number Slevin"
"tt0266308","Battle Royale"
"tt0088939","The Color Purple"
"tt1149362","The White Ribbon"
"tt0416449","300"
"tt0373074","Kung Fu Hustle"
"tt0118929","Dark City"
"tt1074638","Skyfall"
"tt0243017","Waking Life"
"tt0419677","Dead Man's Shoes"
"tt1306980","50/50"
"tt0101700","Delicatessen"
"tt0340377","The Station Agent"
"tt0058331","Mary Poppins"
"tt0344510","A Very Long Engagement"
"tt0364517","Love Me If You Dare"
"tt0079417","Kramer vs. Kramer"
"tt0301357","Good Bye Lenin!"
"tt0370986","Mysterious Skin"
"tt0328107","Man on Fire"
"tt0268126","Adaptation."
"tt0304141","Harry Potter and the Prisoner of Azkaban"
"tt0085794","The King of Comedy"
"tt0455590","The Last King of Scotland"
"tt0150662","Show Me Love"
"tt1091191","Lone Survivor"
"tt0084726","Star Trek II: The Wrath of Khan"
"tt0870111","Frost/Nixon"
"tt0049223","Forbidden Planet"
"tt0089853","The Purple Rose of Cairo"
"tt1683526","Detachment"
"tt0108122","Short Cuts"
"tt0112682","The City of Lost Children"
"tt1078188","Boy A"
"tt0245844","The Count of Monte Cristo"
"tt0210945","Remember the Titans"
"tt1707386","Les Misérables"
"tt0063462","The Producers"
"tt0388795","Brokeback Mountain"
"tt0289879","The Butterfly Effect"
"tt2431286","Philomena"
"tt0117631","Shine"
"tt0111507","Three Colors: White"
"tt0462322","Grindhouse"
"tt0450188","La Vie en Rose"
"tt0446059","Fearless"
"tt0056193","Lolita"
"tt0480025","This Is England"
"tt0065207","Where Eagles Dare"
"tt0373469","Kiss Kiss Bang Bang"
"tt0327597","Coraline"
"tt0298228","Whale Rider"
"tt0117381","Primal Fear"
"tt0203009","Moulin Rouge!"
"tt0926084","Harry Potter and the Deathly Hallows: Part 1"
"tt0066026","MASH"
"tt1340107","In a Better World"
"tt2140373","Saving Mr. Banks"
"tt0475276","United 93"
"tt1855199","End of Watch"
"tt0038109","Spellbound"
"tt0104940","The Muppet Christmas Carol"
"tt0443706","Zodiac"
"tt0245574","Y Tu Mamá También"
"tt0181689","Minority Report"
"tt0427944","Thank You for Smoking"
"tt0021814","Dracula"
"tt0077975","Animal House"
"tt0065938","Kelly's Heroes"
"tt0814314","Seven Pounds"
"tt0083944","First Blood"
"tt0315983","House of Sand and Fog"
"tt0419887","The Kite Runner"
"tt0399295","Lord of War"
"tt0119116","The Fifth Element"
"tt0106308","Army of Darkness"
"tt0154506","Following"
"tt0061852","The Jungle Book"
"tt0363226","The Blind Swordsman: Zatoichi"
"tt0101921","Fried Green Tomatoes"
"tt0404203","Little Children"
"tt0243133","The Man Who Wasn't There"
"tt0104257","A Few Good Men"
"tt0816442","The Book Thief"
"tt0221027","Blow"
"tt0277027","I Am Sam"
"tt0813547","The Counterfeiters"
"tt0095705","The Naked Gun: From the Files of Police Squad!"
"tt1649419","The Impossible"
"tt0099810","The Hunt for Red October"
"tt0119167","Funny Games"
"tt0120863","The Thin Red Line"
"tt1433811","Disconnect"
"tt0330373","Harry Potter and the Goblet of Fire"
"tt0808357","Lust, Caution"
"tt0054953","The Guns of Navarone"
"tt1899353","The Raid: Redemption"
"tt1465522","Tucker & Dale vs. Evil"
"tt0238380","Equilibrium"
"tt0146882","High Fidelity"
"tt0327137","Secondhand Lions"
"tt0112818","Dead Man Walking"
"tt1371111","Cloud Atlas"
"tt1315981","A Single Man"
"tt0083907","The Evil Dead"
"tt0105046","Of Mice and Men"
"tt0215750","Enemy at the Gates"
"tt0095631","Midnight Run"
"tt0427309","The Great Debaters"
"tt0107822","The Piano"
"tt0165798","Ghost Dog: The Way of the Samurai"
"tt1614989","Hodejegerne"
"tt1063669","The Wave"
"tt0087781","The Natural"
"tt0362225","Tell No One"
"tt0385004","House of Flying Daggers"
"tt0453562","42"
"tt0433383","Good Night, and Good Luck."
"tt0426931","August Rush"
"tt0085959","The Meaning of Life"
"tt1457767","The Conjuring"
"tt0117731","Star Trek: First Contact"
"tt0099871","Jacob's Ladder"
"tt0127536","Elizabeth"
"tt0490204","Reign Over Me"
"tt0264796","Life as a House"
"tt0385002","Green Street Hooligans"
"tt0460989","The Wind That Shakes the Barley"
"tt0120324","A Simple Plan"
"tt0108002","Rudy"
"tt1038988","[Rec]"
"tt0174856","The Hurricane"
"tt0446029","Scott Pilgrim vs. the World"
"tt0464141","The Orphanage"
"tt2334649","Fruitvale Station"
"tt0396171","Perfume: The Story of a Murderer"
"tt0119349","The Ice Storm"
"tt0217505","Gangs of New York"
"tt0390221","Maria Full of Grace"
"tt0097958","Christmas Vacation"
"tt1117385","Felon"
"tt0110932","Quiz Show"
"tt0349825","Miracle"
"tt0404030","Everything Is Illuminated"
"tt0289992","The Life of David Gale"
"tt0107554","Menace II Society"
"tt2053425","Rust and Bone"
"tt0408236","Sweeney Todd: The Demon Barber of Fleet Street"
"tt0218839","Best in Show"
"tt0138704","Pi"
"tt0213847","Malèna"
"tt0110005","Heavenly Creatures"
"tt1242460","We Need to Talk About Kevin"
"tt0399146","A History of Violence"
"tt0118789","Buffalo '66"
"tt0256009","The Devil's Backbone"
"tt0316356","Open Range"
"tt1935179","Mud"
"tt0162346","Ghost World"
"tt0419294","The Three Burials of Melquiades Estrada"
"tt0463998","Freedom Writers"
"tt0107808","A Perfect World"
"tt0421238","The Proposition"
"tt1226774","In the Loop"
"tt0247425","In the Bedroom"
"tt0424345","Clerks II"
"tt1193138","Up in the Air"
"tt1164999","Biutiful"
"tt0393109","Brick"
"tt0407265","Transamerica"
"tt0104952","My Cousin Vinny"
