"id@sourceA","name@sourceA","year@sourceA","id@sourceB","name@sourceB","Confidence"
"tt0056869","The Birds","1963","220","The Birds","100"
"tt0052618","Ben-Hur","1959","196","Ben Hur","100"
"tt0265086","Black Hawk Down","2001","222","Black Hawk Down","100"
"tt0071230","Blazing Saddles","1974","228","BLAZING SADDLES","100"
"tt0086979","Blood Simple.","1984","233","Blood Simple","100"
"tt0060176","Blow-Up","1966","235","Blowup","100"
"tt0319061","Big Fish","2003","209","BIG FISH","100"
"tt0038355","The Big Sleep","1946","211","The Big Sleep","100"
"tt0118715","The Big Lebowski","1998","210","The Big Lebowski","100"
"tt0090756","Blue Velvet","1986","238","Blue Velvet","100"
"tt0118749","Boogie Nights","1997","244","Boogie Nights","100"
"tt0372183","The Bourne Supremacy","2004","250","The Bourne Supremacy","100"
"tt0083658","Blade Runner","1982","226","blade runner","100"
"tt0101507","Boyz n the Hood","1991","256","Boyz n the hood","100"
"tt0054698","Breakfast at Tiffany's","1961","260","Breakfast At Tiffany's","100"
"tt0171804","Boys Don't Cry","1999","254","Boys Don’t Cry","100"
"tt0080455","The Blues Brothers","1980","239","The Blues Brothers","100"
"tt0258463","The Bourne Identity","2002","249","The Bourne Identity","100"
"tt0112579","The Bridges of Madison County","1995","267","The Bridges of Madison County","100"
"tt0440963","The Bourne Ultimatum","2007","251","The Bourne Ultimatum","100"
"tt0112573","Braveheart","1995","258","Braveheart","100"
"tt0062765","Bullitt","1968","275","Bullitt","100"
"tt0088846","Brazil","1985","259","Brazil","100"
"tt0091042","Ferris Bueller's Day Off","1986","261","Ferris Bueller’s Day Off","100"
"tt0050212","The Bridge on the River Kwai","1957","266","The Bridge On The River Kwai","100"
"tt0824747","Changeling","2008","307","Changeling","100"
"tt0068327","Cabaret","1972","278","Cabaret","100"
"tt1843866","Captain America: The Winter Soldier","2014","286","Captain America: The Winter soldier","100"
"tt0106519","Carlito's Way","1993","287","CARLITO’S WAY","100"
"tt0103939","Chaplin","1992","309","Chaplin","100"
"tt0034583","Casablanca","1942","301","Casablanca","100"
"tt0264464","Catch Me If You Can","2002","303","Catch Me If You Can","100"
"tt0075860","Close Encounters of the Third Kind","1977","333","Close Encounters of the Third Kind","100"
"tt0056923","Charade","1963","310","Charade","100"
"tt0071315","Chinatown","1974","321","Chinatown","100"
"tt0369339","Collateral","2004","337","Collateral","100"
"tt0085334","A Christmas Story","1983","323","A Christmas Story","100"
"tt0095765","Cinema Paradiso","1988","328","Cinema Paradiso","100"
"tt0094947","Dangerous Liaisons","1988","361","Dangerous Liaisons","100"
"tt0066921","A Clockwork Orange","1971","332","A Clockwork Orange","100"
"tt0109445","Clerks.","1994","330","Clerks","100"
"tt0106677","Dazed and Confused","1993","376","Dazed and Confused","100"
"tt0375679","Crash","2004","347","CraSH","100"
"tt0190332","Crouching Tiger, Hidden Dragon","2000","351","Crouching tiger, Hidden dragon","100"
"tt0068473","Deliverance","1972","389","Deliverance","100"
"tt0099348","Dances with Wolves","1990","360","Dances With Wolves","100"
"tt0077402","Dawn of the Dead","1978","369","Dawn of the  Dead","100"
"tt0061578","The Dirty Dozen","1967","404","The Dirty Dozen","100"
"tt0097165","Dead Poets Society","1989","380","Dead Poets Society","100"
"tt0119008","Donnie Brasco","1997","416","Donnie Brasco","100"
"tt0118971","The Devil's Advocate","1997","396","The Devil’s Advocate","100"
"tt0112864","Die Hard: With a Vengeance","1995","402","Die Hard with a Vengeance","100"
"tt0083866","E.T. the Extra-Terrestrial","1982","427","E.T. – The Extraterrestrial","100"
"tt0765443","Eastern Promises","2007","430","Eastern promises","100"
"tt0468569","The Dark Knight","2008","364","The Dark Knight","100"
"tt1345836","The Dark Knight Rises","2012","365","The Dark Knight Rises","100"
"tt0092965","Empire of the Sun","1987","443","Empire of the Sun","100"
"tt0097216","Do the Right Thing","1989","410","Do The Right Thing","100"
"tt0059113","Doctor Zhivago","1965","413","Doctor Zhivago","100"
"tt0072890","Dog Day Afternoon","1975","414","Dog Day Afternoon","100"
"tt0077416","The Deer Hunter","1978","388","The Deer Hunter","100"
"tt0407887","The Departed","2006","391","The Departed","100"
"tt0308644","Finding Neverland","2004","468","Finding Neverland","100"
"tt0109707","Ed Wood","1994","432","Ed Wood","100"
"tt0079116","Escape from Alcatraz","1979","447","Escape From Alcatraz","100"
"tt0099487","Edward Scissorhands","1990","435","EdWARD SCISSORHANDS","100"
"tt0095016","Die Hard","1988","401","Die Hard","100"
"tt0067116","The French Connection","1971","486","The French Connection","100"
"tt0106856","Falling Down","1993","457","Falling Down","100"
"tt0097351","Field of Dreams","1989","464","Field of Dreams","100"
"tt0246578","Donnie Darko","2001","417","Donnie Darko","100"
"tt0036775","Double Indemnity","1944","420","Double Indemnity","100"
"tt0119174","The Game","1997","498","The Game","100"
"tt0095159","A Fish Called Wanda","1988","470","A FISH CALLED WANDA","100"
"tt0070047","The Exorcist","1973","452","The Exorcist","100"
"tt0101889","The Fisher King","1991","471","The Fisher King","100"
"tt0087332","Ghostbusters","1984","512","Ghostbusters","100"
"tt0964517","The Fighter","2010","466","The Fighter","100"
"tt0080678","The Elephant Man","1980","439","The Elephant Man","100"
"tt0057076","From Russia with Love","1963","493","From Russia With Love","100"
"tt0058150","Goldfinger","1964","526","Goldfinger","100"
"tt0452623","Gone Baby Gone","2007","527","Gone baby gone","100"
"tt0333766","Garden State","2004","502","Garden State","100"
"tt0089218","The Goonies","1985","534","The Goonies","100"
"tt0080684","Star Wars: Episode V - The Empire Strikes Back","1980","444","Star Wars Episode V: The Empire Strikes Back","100"
"tt0099674","The Godfather: Part III","1990","524","The Godfather Part 3","100"
"tt0338013","Eternal Sunshine of the Spotless Mind","2004","449","Eternal sunshine of the spotless mind","100"
"tt0097441","Glory","1989","519","Glory","100"
"tt0137523","Fight Club","1999","465","Fight Club","100"
"tt0061722","The Graduate","1967","535","The Graduate","100"
"tt0107048","Groundhog Day","1993","549","GROUNDHOG DAY","100"
"tt0109830","Forrest Gump","1994","483","Forrest Gump","100"
"tt0087469","Indiana Jones and the Temple of Doom","1984","569","Indiana Jones and the Temple Of Doom","100"
"tt2042568","Inside Llewyn Davis","2013","572","Inside Llewyn Davis","100"
"tt0110148","Interview with the Vampire: The Vampire Chronicles","1994","573","Interview with the Vampire: The Vampire Chronicles","100"
"tt0780536","In Bruges","2008","564","In Bruges","100"
"tt0083987","Gandhi","1982","499","Gandhi","100"
"tt0119396","Jackie Brown","1997","584","jackie brown","100"
"tt0371746","Iron Man","2008","576","Iron Man","100"
"tt0172495","Gladiator","2000","517","Gladiator","100"
"tt1250777","Kick-Ass","2010","598","Kick-Ass","100"
"tt0068646","The Godfather","1972","522","the godfather","100"
"tt0073195","Jaws","1975","587","Jaws","100"
"tt0107290","Jurassic Park","1993","591","Jurassic Park","100"
"tt0031381","Gone with the Wind","1939","531","Gone With the Wind","100"
"tt0119217","Good Will Hunting","1997","532","Good Will Hunting","100"
"tt0099685","Goodfellas","1990","533","Goodfellas","100"
"tt1205489","Gran Torino","2008","536","Gran Torino","100"
"tt2278388","The Grand Budapest Hotel","2014","537","The Grand Budapest Hotel","100"
"tt0378194","Kill Bill: Vol. 2","2004","600","Kill Bill: Vol. 2","100"
"tt0032551","The Grapes of Wrath","1940","539","The Grapes Of Wrath","100"
"tt0120689","The Green Mile","1999","544","The Green Mile","100"
"tt0024216","King Kong","1933","606","king kong","100"
"tt0093389","The Last Emperor","1987","629","The Last Emperor","100"
"tt0104691","The Last of the Mohicans","1992","630","The Last Of The Mohicans","100"
"tt0325710","The Last Samurai","2003","632","The Last Samurai","100"
"tt0030341","The Lady Vanishes","1938","623","The Lady Vanishes","100"
"tt0095497","The Last Temptation of Christ","1988","634","The last temptation Of Christ","100"
"tt1375666","Inception","2010","566","Inception","100"
"tt0097576","Indiana Jones and the Last Crusade","1989","568","Indiana Jones and the Last Crusade","100"
"tt0361748","Inglourious Basterds","2009","570","Inglourious Basterds","100"
"tt0093409","Lethal Weapon","1987","644","Lethal Weapon","100"
"tt0038650","It's a Wonderful Life","1946","581","IT’S A WONDERFUL LIFE","100"
"tt0116922","Lost Highway","1997","665","Lost Highway","100"
"tt0335266","Lost in Translation","2003","666","Lost In Translation","100"
"tt0314331","Love Actually","2003","668","Love Actually","100"
"tt1276104","Looper","2012","660","Looper","100"
"tt0104797","Malcolm X","1992","680","Malcolm X","100"
"tt0266697","Kill Bill: Vol. 1","2003","599","Kill Bill: Vol. 1","100"
"tt0416320","Match Point","2005","696","Match Point","100"
"tt0119488","L.A. Confidential","1997","617","L.A. Confidential","100"
"tt0091605","The Name of the Rose","1986","703","The Name of the rose","100"
"tt0056172","Lawrence of Arabia","1962","636","Lawrence of Arabia","100"
"tt0082694","Mad Max 2: The Road Warrior","1981","676","Mad Max 2: The road warrior","100"
"tt0110413","Léon: The Professional","1994","643","Leon – The Professional","100"
"tt0190590","O Brother, Where Art Thou?","2000","726","O Brother, Where Art thou?","100"
"tt0240772","Ocean's Eleven","2001","728","Ocean's Eleven","100"
"tt0049470","The Man Who Knew Too Much","1956","686","The Man Who Knew Too Much","100"
"tt0074860","Marathon Man","1976","692","Marathon Man","100"
"tt0120735","Lock, Stock and Two Smoking Barrels","1998","654","Lock, Stock and Two Smoking Barrels","100"
"tt0079522","Manhattan","1979","689","Manhattan","100"
"tt0120737","The Lord of the Rings: The Fellowship of the Ring","2001","661","Lord of the Rings: The Fellowship of the Ring","100"
"tt0167261","The Lord of the Rings: The Two Towers","2002","662","Lord of the Rings: The Two Towers","100"
"tt0167260","The Lord of the Rings: The Return of the King","2003","663","Lord of the Rings: The Return of the King","100"
"tt0022100","M","1931","670","M","100"
"tt0107818","Philadelphia","1993","763","Philadelphia","100"
"tt0087800","A Nightmare on Elm Street","1984","714","A Nightmare on Elm Street","100"
"tt0063350","Night of the Living Dead","1968","712","Night of the Living Dead","100"
"tt0465551","Notes on a Scandal","2006","721","Notes on a Scandal","100"
"tt0332280","The Notebook","2004","720","THE Notebook","100"
"tt0105151","The Player","1992","774","The Player","100"
"tt0075005","The Omen","1976","733","The Omen","100"
"tt0133093","The Matrix","1999","697","The Matrix","100"
"tt0414387","Pride & Prejudice","2005","782","Pride and Prejudice","100"
"tt0087884","Paris, Texas","1984","748","Paris, Texas","100"
"tt0477348","No Country for Old Men","2007","715","No Country For Old Men","100"
"tt0053125","North by Northwest","1959","717","North By Northwest","100"
"tt1659337","The Perks of Being a Wallflower","2012","759","The Perks Of Being A Wallflower","100"
"tt0048545","Rebel Without a Cause","1955","814","Rebel Without A Cause","100"
"tt0325980","Pirates of the Caribbean: The Curse of the Black Pearl","2003","767","Pirates of the Caribbean: Curse of the Black Pearl","100"
"tt0059646","Repulsion","1965","820","Repulsion","100"
"tt0093748","Planes, Trains & Automobiles","1987","771","Planes, Trains & Automobiles","100"
"tt0063442","Planet of the Apes","1968","772","Planet of the Apes","100"
"tt0120789","Pleasantville","1998","775","Pleasantville","100"
"tt0047296","On the Waterfront","1954","736","On The Waterfront","100"
"tt0257044","Road to Perdition","2002","833","Road To Perdition","100"
"tt0050825","Paths of Glory","1957","753","Paths of Glory","100"
"tt0128445","Rushmore","1998","852","Rushmore","100"
"tt0047437","Sabrina","1954","856","Sabrina","100"
"tt0107943","The Remains of the Day","1993","819","The Remains of the Day","100"
"tt0482571","The Prestige","2006","779","The Prestige","100"
"tt1318514","Rise of the Planet of the Apes","2011","827","Rise Of The Planet Of The Apes","100"
"tt0093779","The Princess Bride","1987","784","THE PRINCESS BRIDE","100"
"tt0114388","Sense and Sensibility","1995","891","Sense And Sensibility","100"
"tt0070666","Serpico","1973","894","Serpico","100"
"tt0054215","Psycho","1960","789","Psycho","100"
"tt0110912","Pulp Fiction","1994","792","Pulp Fiction","100"
"tt0075148","Rocky","1976","840","Rocky","100"
"tt0093870","RoboCop","1987","838","Robocop","100"
"tt0046250","Roman Holiday","1953","843","Roman Holiday","100"
"tt0063522","Rosemary's Baby","1968","847","Rosemary's Baby","100"
"tt0081398","Raging Bull","1980","800","Raging Bull","100"
"tt0082971","Raiders of the Lost Ark","1981","801","Raiders Of The Lost Ark","100"
"tt0265666","The Royal Tenenbaums","2001","848","The Royal Tenenbaums","100"
"tt0047396","Rear Window","1954","812","Rear Window","100"
"tt0032976","Rebecca","1940","813","Rebecca","100"
"tt1285016","The Social Network","2010","924","THE SOCIAL NETWORK","100"
"tt0180093","Requiem for a Dream","2000","821","Requiem For a Dream","100"
"tt0105236","Reservoir Dogs","1992","822","Reservoir Dogs","100"
"tt0086190","Star Wars: Episode VI - Return of the Jedi","1983","823","Star Wars Episode VI: Return Of The Jedi","100"
"tt0105323","Scent of a Woman","1992","877","Scent of a woman","100"
"tt0049730","The Searchers","1956","888","The Searchers","100"
"tt0036342","Shadow of a Doubt","1943","900","Shadow Of A Doubt","100"
"tt0121766","Star Wars: Episode III - Revenge of the Sith","2005","958","Star Wars Episode III: Revenge Of The Sith","100"
"tt0486655","Stardust","2007","960","Stardust","100"
"tt0365748","Shaun of the Dead","2004","906","Shaun Of The Dead","100"
"tt1130884","Shutter Island","2010","913","Shutter Island","100"
"tt0988045","Sherlock Holmes","2009","909","Sherlock Holmes","100"
"tt0069281","Sleuth","1972","922","Sleuth","100"
"tt0375063","Sideways","2004","915","Sideways","100"
"tt0059742","The Sound of Music","1965","929","The Sound of Music","100"
"tt0054331","Spartacus","1960","931","Spartacus","100"
"tt0120815","Saving Private Ryan","1998","871","SAVING PRIVATE RYAN","100"
"tt0117665","Sleepers","1996","919","Sleepers","100"
"tt0086250","Scarface","1983","874","Scarface","100"
"tt0108052","Schindler's List","1993","878","Schindler’s List","100"
"tt0945513","Source Code","2011","930","Source Code","100"
"tt0114369","Se7en","1995","896","seven","100"
"tt0111161","The Shawshank Redemption","1994","907","The Shawshank Redemption","100"
"tt0081505","The Shining","1980","910","The Shining","100"
"tt0181865","Traffic","2000","1031","Traffic","100"
"tt0102926","The Silence of the Lambs","1991","916","The Silence Of The Lambs","100"
"tt0139654","Training Day","2001","1032","Training Day","100"
"tt0167404","The Sixth Sense","1999","917","The Sixth Sense","100"
"tt0208092","Snatch.","2000","923","Snatch","100"
"tt0067800","Straw Dogs","1971","967","Straw Dogs","100"
"tt0829482","Superbad","2007","973","Superbad","100"
"tt0076786","Suspiria","1977","977","Suspiria","100"
"tt0092005","Stand by Me","1986","945","Stand By Me","100"
"tt0072271","The Texas Chain Saw Massacre","1974","992","The Texas Chain Saw Massacre","100"
"tt0108550","What's Eating Gilbert Grape","1993","1091","What’s eating gilbert grape","100"
"tt0070735","The Sting","1973","964","The Sting","100"
"tt0048728","To Catch a Thief","1955","1018","To Catch A Thief","100"
"tt0096438","Who Framed Roger Rabbit","1988","1096","Who Framed Roger Rabbit","100"
"tt0070917","The Wicker Man","1973","1099","The Wicker Man","100"
"tt0075314","Taxi Driver","1976","982","Taxi Driver","100"
"tt0100802","Total Recall","1990","1027","Total Recall","100"
"tt0796366","Star Trek","2009","954","Star Trek","100"
"tt0103064","Terminator 2: Judgment Day","1991","988","Terminator 2: Judgment Day","100"
"tt0840361","The Town","2010","1029","The Town","100"
"tt1408101","Star Trek Into Darkness","2013","955","Star Trek INTO DARKNESS","100"
"tt0041959","The Third Man","1949","999","The Third Man","100"
"tt1270798","X-Men: First Class","2011","1123","X-Men: First class","100"
"tt0056592","To Kill a Mockingbird","1962","1019","To Kill A Mockingbird","100"
"tt0088247","The Terminator","1984","987","The Terminator","100"
"tt0117951","Trainspotting","1996","1033","Trainspotting","100"
"tt0088258","This Is Spinal Tap","1984","1003","This Is Spinal Tap","100"
"tt0114814","The Usual Suspects","1995","1060","The Usual Suspects","100"
"tt0434409","V for Vendetta","2005","1061","V For Vendetta","100"
"tt0098635","When Harry Met Sally...","1989","1093","When Harry Met Sally...","100"
"tt0052357","Vertigo","1958","1069","Vertigo","100"
"tt1800241","American Hustle","2013","91","American Hustle","100"
"tt0108399","True Romance","1993","1041","True Romance","100"
"tt0120382","The Truman Show","1998","1042","The Truman Show","100"
"tt0290334","X2","2003","1120","X2","100"
"tt0094226","The Untouchables","1987","1058","The Untouchables","100"
"tt0993846","The Wolf of Wall Street","2013","1107","The Wolf Of Wall Street","100"
"tt0094721","Beetlejuice","1988","184","Beetlejuice","100"
"tt0086960","Beverly Hills Cop","1984","199","Beverly Hills Cop","100"
"tt2334873","Blue Jasmine","2013","236","Blue Jasmine","100"
"tt0080487","Caddyshack","1980","281","Caddyshack","100"
"tt0101540","Cape Fear","1991","284","CAPE FEAR","100"
"tt0118842","Chasing Amy","1997","317","Chasing Amy","100"
"tt0124315","The Cider House Rules","1999","327","The Cider House Rules","100"
"tt0376541","Closer","2004","334","Closer","100"
"tt0118884","Contact","1997","341","Contact","100"
"tt1570728","Crazy, Stupid, Love.","2011","348","Crazy, Stupid, Love","100"
"tt0104036","The Crying Game","1992","353","The Crying Game","100"
"tt0301199","Dirty Pretty Things","2002","406","Dirty Pretty Things","100"
"tt0120655","Dogma","1999","415","Dogma","100"
"tt0069995","Don't Look Now","1973","418","Don't Look Now","100"
"tt0064276","Easy Rider","1969","431","Easy Rider","100"
"tt1174732","An Education","2009","434","An Education","100"
"tt0116209","The English Patient","1996","446","the English patient","100"
"tt1229822","Jane Eyre","2011","586","Jane EYRE","100"
"tt0375912","Layer Cake","2004","637","Layer Cake","100"
"tt0443272","Lincoln","2012","650","LINCOLN","100"
"tt0311113","Master and Commander: The Far Side of the World","2003","695","Master And Commander: The Far Side of the World","100"
"tt0084516","Poltergeist","1982","777","Poltergeist","100"
"tt0180073","Quills","2000","797","Quills","100"
"tt0093822","Raising Arizona","1987","806","Raising Arizona","100"
"tt0117500","The Rock","1996","839","The Rock","100"
"tt0111149","Shallow Grave","1994","904","Shallow Grave","100"
"tt0363547","Dawn of the Dead","2004","906","Shaun Of The Dead","100"
"tt0316654","Spider-Man 2","2004","936","Spider-Man 2","100"
"tt0078346","Superman","1978","974","Superman","100"
"tt0086425","Terms of Endearment","1983","990","Terms Of Endearment","100"
"tt0103074","Thelma & Louise","1991","996","Thelma and Louise","100"
"tt0086465","Trading Places","1983","1030","Trading Places","100"
"tt0094291","Wall Street","1987","1081","Wall Street","100"
"tt0185014","Wonder Boys","2000","1112","Wonder Boys","100"
"tt0120903","X-Men","2000","1119","X-Men","100"
