"id","name"
"fm398","Cidade de Deus"
"fm399","Cidade dos Homens"
"fm400","Cinderella Man"
"fm401","Cinderella Story"
"fm402","cinema paradiso"
"fm403","CITIZEN KANE"
"fm404","Citizen Ruth"
"fm405","city of angels"
"fm406","city of God"
"fm407","City Of The Lost Children"
"fm408","clash of the titans"
"fm409","cleaner"
"fm410","Cleopatra"
"fm411","clerks"
"fm412","Click"
"fm413","Cliente"
"fm414","Cliffhanger"
"fm415","Clinique in the Rose Garden"
"fm416","clockwork orange"
"fm417","closer"
"fm418","Closer"
"fm419","cloverfield"
"fm420","Clueless"
"fm421","Coach Carter"
"fm422","cocktail"
"fm424","Cold Mountain"
"fm425","Columbo"
"fm426","comanche"
"fm427","Comanche"
"fm428","Comizi d'amore"
"fm429","comment un chef"
"fm430","Con Air"
"fm431","Conan"
"fm432","Conan the barbarian"
"fm433","Conan the Barbarian"
"fm434","Conan the Barbarian 2011"
"fm435","Conde Bracula"
"fm436","Conquest of the Planet of the Apes"
"fm437","Conspiracy Theory"
"fm438","Constantine"
"fm439","contact"
"fm440","Contra Todos"
"fm441","Control"
"fm442","Copycat"
"fm444","Country Strong"
"fm445","Couples Retreat"
"fm446","Covert Affairs"
"fm447","cowboy and aliens"
"fm449","Coyote Bar"
"fm450","Coyote Ugly"
"fm451","Cracks"
"fm452","Crazy About Ya"
"fm453","Creation"
"fm456","Crossing Over"
"fm457","Cruel Intentions"
"fm458","CSI Miami"
"fm459","Cuando todo esté en orden"
"fm460","cuchillo1977"
"fm461","Cuéntame como paso - Serie TV"
"fm463","Curse of the Demon"
"fm464","D.C. Cab"
"fm465","Da Vinci Code"
"fm466","Dagon"
"fm467","Damages"
"fm472","Dans la maison"
"fm474","Dark Justice"
"fm476","Das weisse Band"
"fm477","Date Nite"
"fm481","dazed and confused"
"fm482","De Passagem"
"fm483","De Passievrucht"
"fm485","Dead Man"
"fm486","Dead Poets Society"
"fm487","Deadwood"
"fm489","Death and the Maiden"
"fm490","Death Proof"
"fm492","Deep Red"
"fm494","Demons"
"fm497","Der letzte Ritt nach Santa Cruz"
"fm498","Der Stern von Afrika"
"fm499","Der Womanizer"
"fm500","Derechos y deberes de la infancia y la adolescencia"
"fm501","desde que amanece apetece"
"fm502","destino final 2"
"fm503","destino final 5"
"fm506","Deuce Bigalow european gigolo"
"fm507","Devdas"
"fm508","dexter"
"fm509","Di passaggio"
"fm510","Diamonds are Forever"
"fm511","Diarios de motocicleta"
"fm513","Días contados"
"fm514","días de viejo color"
"fm515","Dick and Jane"
"fm516","die another day"
"fm517","Die Hard"
"fm518","Die Herbstzeitlosen"
"fm519","die welle"
"fm520","Diego de Acevedo"
"fm521","Dikkenek"
"fm523","dirty dancing"
"fm524","Dirty Harry"
"fm526","district 9"
"fm527","Divorzio all'italiana"
"fm529","Djöflaeyjan"
"fm530","Doctor Mateo"
"fm531","Doctor Who"
"fm535","Dogville"
"fm536","Domingo Arrieta Revolucionario"
"fm537","don camillo"
"fm539","Don't Look Now"
"fm541","Donnie Darko"
"fm542","Dorian Gray"
"fm543","Dorothy Mills"
"fm544","Doubt"
"fm547","Dr. Cook's Garden - 1971"
"fm548","Dr. NO"
"fm549","Drag Me to Hell"
"fm550","Dragonball Evolution"
"fm554","Du bist nicht allein"
"fm555","Duck Soup"
"fm557","Duel"
"fm558","Dumb and Dumber"
"fm559","duplicity"
"fm560","Durval Discos"
"fm561","E.T."
"fm564","Easy A"
"fm565","Eat Pray Love"
"fm567","eden lake"
"fm568","Edward Scissorhands"
"fm569","Ek Paye Royecho Dariye"
"fm572","Eklavya"
"fm573","el abuelo"
"fm574","El agua en el suelo"
"fm575","El ahorcado"
"fm576","El Alcalde y la Política"
"fm577","el americano impasible"
"fm579","el ángel exterminador"
"fm581","El avaro"
"fm583","el baño del papa"
"fm584","El bueno, el feo y el malo"
"fm585","El cabo del miedo"
"fm586","El Camino de los Ingleses"
"fm587","El cazador de rober de niro"
"fm588","El Cid"
"fm590","el cid, belmonte cuenca"
"fm592","El Cónsul de Sodoma"
"fm593","El Corazón de la Tierra"
"fm594","El corredor nocturno"
"fm595","el crimen prefecto"
"fm597","el dia de la bestia"
"fm598","El diabólico"
"fm599","El dictador"
"fm601","el embrujo de xangai"
"fm602","el expreso de medianoche"
"fm605","El fondo del mar"
"fm606","el gavilan de la sierra"
"fm607","El Gran Lebowski"
"fm608","El hombre de arena"
"fm610","El hombre que no amaba a las mujeres"
"fm611","El hombre que supo amar"
"fm612","el hombre que susurraba a los caballos"
"fm613","El Hundimiento"
"fm614","El imperio del sol"
"fm616","El Internado"
"fm617","el laberinto del fauno"
"fm618","El Lobo"
"fm619","el lugar"
"fm620","El Maquinista"
"fm621","El misterio de Elche"
"fm622","El mundo es nuestro"
"fm624","El noctámbulo"
"fm627","el orfanato"
"fm628","el origen del planeta de los simios"
"fm629","el padrino"
"fm634","El Pájaro de la Felicidad"
"fm635","El Patrullero"
"fm636","El penalti más largo del mundo"
"fm637","el perfume"
"fm638","El Perfume: The Story of a Murderer"
"fm639","El poderoso influjo de la luna"
"fm641","El profesor patagónico"
"fm642","El rayo verde"
"fm643","El refugio del mal"
"fm644","El regreso de los siete magníficos"
"fm647","El río que nos lleva"
"fm649","El Robo del Tren"
"fm650","El robo imposible"
"fm651","El secreto de papá"
"fm652","El secreto de sus ojos"
"fm653","El señor de los anillos"
"fm655","el sueño de tanger"
"fm656","El Sur"
"fm658","El tiempo de la felicidad"
"fm659","el topo"
"fm660","El Topo"
"fm667","El Tulipán Negro"
"fm668","EL TUNCO MACLOVIO"
"fm669","El tunco Maclovio"
"fm670","El último duelo"
"fm671","El valle de Gwangi"
"fm673","el viento y el leon"
"fm674","Elegy"
"fm675","Elite troope"
"fm676","Elizabeth: The Golden Age"
"fm677","Elling"
"fm678","Eloïse"
"fm679","Elsker dig for evigt"
"fm680","elvis and annabelle"
"fm681","embrujadas"
"fm682","Emden Men"
"fm683","emma"
"fm684","empire of the sun"
"fm686","En brazos de la mujer madura"
"fm687","En Busca de la Felicidad"
"fm688","En busca del fuego"
"fm691","En la tiniebla"
"fm692","en que piensan las mujeres"
"fm693","En Tierra Hostil"
"fm695","Encuentros en la tercera fase"
"fm696","End Game"
"fm697","Endhiran"
"fm698","Enemigo mio"
"fm700","enemy of the state"
"fm701","enigma"
"fm703","Ensaio Sobre a Cegueira"
"fm704","enter the dragon"
"fm705","Entrapment"
"fm706","Entre fantasmas"
"fm707","Entre Lobos"
"fm708","Entre vivir y soñar"
"fm709","eragon"
"fm710","Erase una vez en Durango"
"fm711","eres mi heroe"
"fm712","Erin Brockovich"
"fm713","Ermessenda"
"fm714","Escape from Alcatraz"
"fm715","escape to athena"
"fm716","Ese oscuro objeto del deseo"
"fm717","esta casa es una ruina"
"fm718","Estamos Juntos"
"fm719","Estranho Encontro"
"fm720","Eva"
"fm722","evita"
"fm723","Ex"
"fm724","excalibur"
"fm725","expediente 39"
"fm726","Extremely Loud & Incredibly Close"
"fm727","Eye for an Eye"
"fm728","Eyes Wide Shut"
"fm730","Falcon Crest"
"fm731","Falling Down"
"fm732","Fanny"
"fm733","Farewell Baghdad"
"fm734","fargo"
"fm735","Fast & Furious"
"fm736","Fast & Furious 5"
"fm737","Fast and furious 5"
"fm738","Fast Girl"
"fm739","Fast Times At Ridgemont High"
"fm742","Father of Invention"
"fm743","Faust"
"fm744","Fear and Loathing in Las Vegas"
"fm745","Feast of love"
"fm746","Femme Fatale"
"fm748","Ferris Bueller's Day Off"
"fm749","Ficció"
"fm750","Field of Dreams"
"fm752","Final"
"fm754","Finding Neverland"
"fm755","Fire Over Africa"
"fm756","Fireflies in the Garden"
"fm759","first knight"
"fm760","First Knight"
"fm762","Fisher King"
"fm764","fiumi di porpora"
"fm765","five children and it"
"fm766","Five Days From Home"
"fm767","Five Minutes of Heaven"
"fm768","Flags Of Our Fathers"
"fm769","flash forward"
"fm770","flash gordon"
"fm771","Flightplan"
"fm772","Flipped"
"fm773","Flores Negras"
"fm774","florido pensil"
"fm775","Flying down to Rio"
"fm776","For a few dollars more"
"fm777","For Richer Or Poorer"
"fm778","For Whom the Bell Tolls"
"fm779","For Your Eyes Only"
"fm780","Ford: The Man and the Machine"
"fm781","Forget Paris"
"fm782","Forgiveness"
"fm783","forrest gump"
"fm784","Fort Bravo"
"fm785","Fortunata y Jacinta"
"fm786","four brothers"
"fm788","four weddings and a funeral"
"fm790","Fractured"
"fm791","Fragile"
"fm795","Frantic"
"fm796","fratello sole sorella luna"
"fm797","french kiss"
"fm798","Fresa y Chocolate"
"fm799","Friends"
"fm801","frighteners"
"fm802","Fringe"
"fm804","From Paris with Love"
"fm805","from prada to nada"
"fm806","Frozen"
"fm807","Frozen River"
"fm808","Fuckland"
"fm809","fuga de cerebros"
"fm810","Fuga de cerebros 2"
"fm811","Fugitive Pieces"
"fm812","full metal jacket"
"fm813","Funny People"
"fm814","Furia de Titanes"
"fm815","furia de titanes"
"fm816","G. I. Joe"
"fm818","G.I. Jane"
"fm819","g.i. joe"
"fm820","Gamer"
"fm821","Gandhi"
"fm822","Garbo, el espia"
"fm823","garden state"
"fm824","Genova"
"fm825","Gente mala del Norte"
"fm829","Get Carter"
"fm830","Get Smart"
"fm831","Ghost"
"fm832","Ghost Rider 2"
"fm833","Ghostbusters"
"fm834","Ghosts Can't do it"
"fm836","Giarrettiera Colt"
"fm837","Gidget Goes to Rome"
"fm839","girl with a pearl earring"
"fm840","Girl, Interrupted"
"fm841","Giuseppe Moscati"
"fm842","Gladiator"
"fm845","Glory"
"fm846","goal"
"fm848","goin south"
"fm849","Goin' South"
"fm850","goldeneye"
"fm851","gomorra"
"fm852","Gone with the wind"
"fm853","Good Morning, Vietnam"
"fm854","good son"
"fm855","Good Will Hunting"
"fm859","Gosford Park"
"fm861","Gospel Hill"
"fm862","gospel of john"
"fm863","Goya's Ghosts"
"fm865","Gran Hotel"
"fm866","Gran Nord"
"fm867","gran torino"
"fm869","Grease"
"fm870","Great Balls of Fire"
"fm871","Great Expectations"
"fm872","great scout and cathouse thursday"
"fm873","Gremlins 2: The new batch"
"fm875","Groundhog Day"
"fm877","Grupo 7"
"fm878","Gruss Gott Señor Ramón"
"fm879","Guns for San Sebastian"
"fm880","guns of darkness"
"fm881","Habanastation"
"fm882","Hable con ella"
"fm883","Hace calor en La Habana"
"fm884","Hace un millón de años"
"fm886","Half Light"
"fm887","halloween"
"fm889","Hamlet"
"fm890","Hancock"
"fm894","hannibal"
"fm895","Happythankyoumoreplease"
"fm896","Harem"
"fm898","harold and maude"
"fm899","harry brown"
"fm900","Harry Potter"
"fm905","Have Gun Will Travel"
"fm906","Heartbreakers"
"fm910","Hemel"
"fm911","Heroína"
"fm916","Hierro"
"fm918","High Plains Drifter"
"fm919","high school musical 3"
"fm920","high tension"
"fm921","Higher Ground"
"fm922","Highlander"
"fm925","Hitch"
"fm927","hitte/harara"
"fm928","Home Alone"
"fm930","Home Alone 2: Lost In New York"
"fm931","Hoosiers"
"fm932","Hope and Glory"
"fm933","Horrible Bosses"
"fm934","hostage"
"fm935","hostel II"
"fm936","Hot Fuzz"
"fm937","Hot Snake"
"fm938","Hôtel des Amériques"
"fm941","House M. D."
"fm942","House of Wax"
"fm943","how do you know"
"fm944","How I Got Lost"
"fm945","How I Met Your Mother"
"fm947","How To Lose Friends..."
"fm948","Hudson Hawk"
"fm949","Hugo"
"fm950","Humraaz"
"fm951","Hush"
"fm952","I am Dina"
"fm953","I Am Legend"
"fm954","I am number four"
"fm955","i believe in you"
"fm956","I delfini"
"fm957","I dreamed of Africa"
"fm958","I Love You Phillip Morris"
"fm959","I Love You To Death"
"fm960","i pirati dei caraibi"
"fm961","I See a Dark Stranger"
"fm964","ieri oggi e domani"
"fm965","Il capo dei capi"
"fm966","il commisario montalbano il senso del tatto"
"fm967","Il Compagno Don Camillo"
"fm969","il divo"
"fm970","Il giudizio universale"
"fm971","il marchese del grillo"
"fm973","Il mio west"
"fm974","il postino"
"fm975","il sorpasso"
"fm977","Il Viaggio"
"fm978","Imagine that"
"fm979","imagining argentina"
"fm980","Immortal Beloved"
"fm981","Impact"
"fm984","In Country"
"fm985","in good company"
"fm986","In The Mood For Love"
"fm988","In Time"
"fm990","Incompreso"
"fm991","Incorregibles"
"fm993","Independence Day"
"fm994","India Song"
"fm995","indiana jones"
"fm996","Indiana Jones and the Last crusade"
"fm998","Indiana Jones and the Temple of Doom"
"fm999","Inferno"
"fm1000","Infierno y Gloria"
"fm1001","inglorious bastards"
"fm1002","Inkheart"
"fm1003","Innamorato Pazzo"
"fm1004","Inside Man"
"fm1005","Intacto"
"fm1006","intacto"
"fm1007","Interview with the Vampire"
"fm1008","into the wild"
"fm1011","Invictus"
"fm1014","iron man 3"
"fm1015","isi disi"
"fm1016","ispansis"
"fm1018","It's a Wonderful Life"
"fm1019","It's complicated"
"fm1021","JACQUOU LE CROQUANT"
"fm1022","James Bond: Goldfinger"
"fm1023","Jamón Jamón"
"fm1024","jappeloup"
"fm1025","Jarhead"
"fm1026","Jarrapellejos"
"fm1027","Jaws"
"fm1028","Jaws II"
"fm1030","jeele yeh pal"
"fm1032","Jerry Maguire"
"fm1033","Jesus christ Superstar"
"fm1036","JFK"
"fm1037","Jogo Subterrâneo"
"fm1038","John Rabe"
"fm1039","Johnny English"
"fm1041","Jonah Hex"
"fm1043","Jory"
"fm1044","journey to the End of the Night"
"fm1045","Juan de los muertos"
"fm1046","juana la loca"
"fm1047","Jules et Jim"
"fm1048","julia"
"fm1049","Julie & Julia"
"fm1050","Jumper"
"fm1051","Juno"
"fm1053","Jurassic Park"
"fm1056","Kabhi Khushi Kabhi Gham"
"fm1057","Kalimán, el hombre increíble"
"fm1058","Kamasutra a tale of love"
"fm1059","Kandasamy"
"fm1060","kandaswamy"
"fm1064","Ken Park"
"fm1065","Kick-Ass"
"fm1066","Kicks"
"fm1067","kid blue 1971"
"fm1068","Kill Bill"
"fm1069","Kindergarten Cop"
"fm1070","King Arthur"
"fm1071","King Kong"
"fm1072","King of Texas"
"fm1073","Kingdom of Heaven"
"fm1074","Kings"
"fm1075","Kisses"
"fm1076","Knight and Day"
"fm1078","Knowing"
"fm1079","Kramer vs Kramer"
"fm1080","Kung Fu"
"fm1082","kyle xy"
"fm1083","l'auberge espagnole"
"fm1085","La bataille de San Sebastian"
"fm1086","La bruja sin escoba"
"fm1087","La Caja"
"fm1088","la caja kovac"
"fm1090","La casa dalle finestre che ridono"
"fm1091","La casa grande"
"fm1092","La celestina"
"fm1093","La cera virgen"
"fm1094","La chica de ayer"
"fm1096","La conjura del EScorial"
"fm1100","La cuarta guerra de los niños"
"fm1101","la cucaracha"
"fm1103","La deuda interna"
"fm1104","La Dolce Vita"
"fm1106","La Dueña de tu"
"fm1107","La Duquesa"
"fm1108","La educación de las hadas"
"fm1109","La Fiel Infanteria"
"fm1111","La fille coupée en deux"
"fm1112","La fría luz del día"
"fm1114","La guerra empieza en Cuba"
"fm1115","La Habitación de Fermat"
"fm1117","La insólita y gloriosa hazaña del cipote de Archidona"
"fm1118","la lengua de las mariposas"
"fm1119","La Leyenda del Reverendo"
"fm1121","La Lozana Andaluza"
"fm1122","La lupa"
"fm1123","La mala educación"
"fm1124","la matassa"
"fm1125","La meglio gioventù"
"fm1127","La Mitad de Oscar"
"fm1128","La Môme"
"fm1129","la muerte tenia un precio"
"fm1130","La muerte y la doncella"
"fm1131","La mujer del anarquista"
"fm1132","la mujer y el pelele"
"fm1134","La nave de los locos"
"fm1135","la noche de los girasoles"
"fm1136","La noite"
"fm1137","La pandilla salvaje"
"fm1138","La Pasión de Cristo"
"fm1139","la pasion turca"
"fm1140","La piel que habito"
"fm1141","La Pimpinela de California"
"fm1142","la poliziotta"
"fm1143","la prima cosa bella"
"fm1145","La Regenta"
"fm1146","La residencia"
"fm1147","LA SAYUELA PRIVILEGIO NATURAL"
"fm1148","La Señora"
"fm1150","La Tabla De Flandes"
"fm1151","La Teta Asustada"
"fm1152","la vaquilla"
"fm1153","La venganza del rojo"
"fm1154","La ventana"
"fm1157","La vida es bella"
"fm1158","La vil seducción"
"fm1160","Labyrinth"
"fm1161","Lady hawke"
"fm1163","land and freedom"
"fm1164","Land of the Blind"
"fm1165","Lara Croft Tomb Raider"
"fm1167","Las chicas de la Cruz Roja"
"fm1168","las dos orillas"
"fm1169","Las Gemelas"
"fm1170","Las tres espadas del zorro"
"fm1171","Lassie"
"fm1172","Last Action Hero"
"fm1173","last chance harvey"
"fm1175","Law Abiding Citizen"
"fm1176","law man"
"fm1178","Lawrence of Arabia"
"fm1179","Layer Cake"
"fm1180","Layla Fourie"
"fm1182","le bon la brute et le truand"
"fm1183","Le code a changé"
"fm1184","Le grand bazar"
"fm1185","Le Hérisson"
"fm1186","Le Mioche"
"fm1189","Le Président"
"fm1193","Leatherheads"
"fm1194","leaving las vegas"
"fm1195","Legends of the Fall"
"fm1196","Legion"
"fm1198","Les amours imaginaires"
"fm1199","Les beaux gosses"
"fm1200","Les bijoutiers du clair de lune"
"fm1201","Les Chevaliers du ciel"
"fm1202","Lethal Weapon"
"fm1203","Letters to God"
"fm1204","leyendas de amor y muerte"
"fm1205","leyendas de pasion"
"fm1206","Leyendas durangueñas"
"fm1207","libertarias"
"fm1208","Licence to Kill"
"fm1210","Life is Beautiful"
"fm1213","Lignes de front"
"fm1215","Linha de Passe"
"fm1217","Lisbon Story"
"fm1218","Liscense to Wed"
"fm1219","Little Ashes"
"fm1220","little miss sunshine"
"fm1221","Little Red Wagon"
"fm1222","little treasur 1984"
"fm1223","Little Treasure"
"fm1224","Lizzie McGuire Movie"
"fm1225","Llanto por un bandido"
"fm1226","Lo imposible"
"fm1227","Lo mejor de mi"
"fm1228","Lo que no se perdona"
"fm1229","Lo spazio bianco"
"fm1230","local hero"
"fm1233","Lock, Stock and Two Smoking Barrels"
"fm1234","LOL"
"fm1235","Lola rennt"
"fm1236","Lola: la película"
"fm1238","lonesome dove"
"fm1239","Loosies"
"fm1240","Lorca Muerte de un poeta"
"fm1243","Los 2 lados de la cama"
"fm1244","Los abrazos rotos"
"fm1245","los amantes del circulo polar"
"fm1246","Los Cronocrimenes"
"fm1247","los duendes de Andalucia"
"fm1248","los girasoles ciegos"
"fm1249","Los lunes al sol"
"fm1250","Los niños salvajes"
"fm1251","Los novios búlgaros"
"fm1252","los puentes de madison"
"fm1257","Los señores del acero"
"fm1258","Los Serrano - Serie TV"
"fm1260","Los vigilantes de la playa"
"fm1262","lost boys"
"fm1263","lost in translation"
"fm1264","Loulou Graffiti"
"fm1265","Love Actually"
"fm1266","Love and Other Drugs"
"fm1267","Love happens"
"fm1268","love in the time of cholera"
"fm1270","Love Story"
"fm1271","Lucía y el sexo"
"fm1272","Lucky Numbers"
"fm1273","Lula: O Filho do Brasil"
"fm1274","Lulu on the Bridge"
"fm1276","Luz nas Trevas - A Volta do Bandido da Luz Vermelha"
"fm1278","Ma mère"
"fm1279","macbeth 1971"
"fm1280","Machete"
"fm1283","Mad Max: Fury Road"
"fm1284","Mad Men"
"fm1285","Mad Sad and Bad"
"fm1287","Madly in Love"
"fm1288","magadheera"
"fm1289","Magnum, P.I."
"fm1291","Maid in Manhattan"
"fm1293","Major Dundee"
"fm1294","Malaventura"
"fm1295","Malena"
"fm1297","malice"
"fm1298","malone"
"fm1299","Mami blue"
"fm1300","mamma mia"
"fm1301","Mamma Mía"
"fm1302","mamma roma"
"fm1303","Man from Snowy River"
"fm1305","Man on wire"
"fm1308","Manhattan"
"fm1309","Manolito gafotas"
"fm1310","Manuela"
"fm1312","Marcelino pan y vino"
